" Daily soil water balance output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","4088.0","0.56","0.0","0.0","6.18","0.56","3.48","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","2014.0","10.0","4088.0","103.42","36.03","483.237007874","0.0","0.0"
"2014.0","10.0","2.0","275.0","4088.0","0.52","0.0","0.0","4.2","0.52","2.17","0.0","0.0","0.0","0.0","24.67","22.5","182.88","91.44","158.21","160.38","0.0","","2014.0","11.0","4088.0","43.39","42.98","576.450918635","0.0","0.0"
"2014.0","10.0","3.0","276.0","4088.0","0.48","0.0","0.0","4.14","0.48","1.99","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","2014.0","12.0","4088.0","32.08","34.9","468.081364829","0.0","0.0"
"2014.0","10.0","4.0","277.0","4088.0","0.45","0.0","0.0","4.18","0.45","1.89","0.0","0.0","0.0","0.0","24.39","22.5","182.88","91.44","158.49","160.38","0.0","","2015.0","1.0","4088.0","33.25","17.16","230.151181102","0.0","0.0"
"2014.0","10.0","5.0","278.0","4088.0","0.43","0.0","0.0","4.06","0.43","1.73","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","2015.0","2.0","4088.0","56.91","36.39","488.065354331","0.0","0.0"
"2014.0","10.0","6.0","279.0","4088.0","0.41","0.0","0.0","4.12","0.41","1.67","0.0","0.0","0.0","0.0","24.17","22.5","182.88","91.44","158.71","160.38","0.0","","2015.0","3.0","4088.0","104.95","49.39","662.422309711","0.0","0.0"
"2014.0","10.0","7.0","280.0","4088.0","0.39","0.0","0.0","4.25","0.39","1.65","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","2015.0","4.0","4088.0","140.99","71.2","954.939632546","0.0","0.0"
"2014.0","10.0","8.0","281.0","4088.0","0.37","0.0","0.0","4.81","0.37","1.77","0.0","0.0","0.0","0.0","24.27","22.5","182.88","91.44","158.61","160.38","0.0","","2015.0","5.0","4088.0","160.57","175.99","2360.39081365","175.97","2360.12257218"
"2014.0","10.0","9.0","282.0","4088.0","0.35","0.0","0.0","4.33","0.35","1.54","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","2015.0","6.0","4088.0","209.56","210.2","2819.21784777","210.19","2819.08372703"
"2014.0","10.0","10.0","283.0","4088.0","0.34","0.0","0.0","3.77","0.34","1.29","0.0","0.0","0.0","0.0","23.79","22.5","182.88","91.44","159.09","160.38","0.0","","2015.0","7.0","4088.0","216.77","216.77","2907.3351706","216.77","2907.3351706"
"2014.0","10.0","11.0","284.0","4088.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","2015.0","8.0","4088.0","196.26","192.05","2575.78871391","192.04","2575.65459318"
"2014.0","10.0","12.0","285.0","4088.0","0.32","0.0","0.0","6.72","0.32","2.13","0.0","0.0","0.0","0.0","24.63","22.5","182.88","91.44","158.25","160.38","0.0","","2015.0","9.0","4088.0","150.85","87.95","1179.59186352","85.0","1140.02624672"
"2014.0","10.0","13.0","286.0","4088.0","0.31","0.0","0.0","4.16","0.31","1.28","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","4088.0","0.3","0.0","0.0","3.14","0.3","0.95","0.0","0.0","0.0","0.0","23.45","22.5","182.88","91.44","159.43","160.38","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","4088.0","0.3","0.0","0.0","2.28","0.3","0.68","1.75","1.75","0.0","0.0","21.7","22.5","182.88","91.44","161.18","160.38","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","4088.0","0.29","0.0","0.0","2.67","0.29","0.78","0.08","0.08","0.0","0.0","22.4","22.5","182.88","91.44","160.48","160.38","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","4088.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","23.13","22.5","182.88","91.44","159.75","160.38","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","4088.0","0.29","0.0","0.0","2.9","0.29","0.83","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","4088.0","0.28","0.0","0.0","3.02","0.28","0.85","0.0","0.0","0.0","0.0","23.35","22.5","182.88","91.44","159.53","160.38","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","4088.0","0.28","0.0","0.0","2.28","0.28","0.63","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","4088.0","0.27","0.0","0.0","2.62","0.27","0.72","0.0","0.0","0.0","0.0","23.22","22.5","182.88","91.44","159.66","160.38","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","4088.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","4088.0","0.27","0.0","0.0","2.45","0.27","0.66","0.0","0.0","0.0","0.0","23.16","22.5","182.88","91.44","159.72","160.38","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","4088.0","0.26","0.0","0.0","2.62","0.26","0.69","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","4088.0","0.26","0.0","0.0","2.31","0.26","0.6","0.0","0.0","0.0","0.0","23.1","22.5","182.88","91.44","159.78","160.38","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","4088.0","0.26","0.0","0.0","2.62","0.26","0.68","2.42","2.42","0.0","0.0","20.68","22.5","182.88","91.44","162.2","160.38","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","4088.0","0.26","0.0","0.0","2.46","0.26","0.63","0.0","0.0","0.0","0.0","21.31","22.5","182.88","91.44","161.57","160.38","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","4088.0","0.25","0.0","0.0","2.35","0.25","0.6","0.0","0.0","0.0","0.0","21.91","22.5","182.88","91.44","160.97","160.38","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","4088.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","22.51","22.5","182.88","91.44","160.37","160.38","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","4088.0","0.25","0.0","0.0","2.55","0.25","0.63","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","4088.0","0.25","0.0","0.0","1.22","0.25","0.3","0.0","0.0","0.0","0.0","22.8","22.5","182.88","91.44","160.08","160.38","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","4088.0","1.15","0.0","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","13.29","22.5","182.88","91.44","169.59","160.38","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","4088.0","1.14","0.0","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","15.82","22.5","182.88","91.44","167.06","160.38","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","4088.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","17.9","22.5","182.88","91.44","164.98","160.38","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","4088.0","1.01","0.0","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","19.67","22.5","182.88","91.44","163.21","160.38","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","4088.0","0.91","0.0","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","21.27","22.5","182.88","91.44","161.61","160.38","0.0","","","","","","","","",""
