" Daily soil water balance output for Water Surface in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","13474.0","0.57","1.1","0.0","5.96","1.1","6.556","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","10.0","13474.0","103.02","113.322","5009.51649606"
"2014.0","10.0","2.0","275.0","13474.0","0.52","1.1","0.0","4.15","1.1","4.565","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","11.0","13474.0","43.68","48.048","2124.01165354"
"2014.0","10.0","3.0","276.0","13474.0","0.48","1.1","0.0","4.14","1.1","4.554","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","12.0","13474.0","32.29","35.519","1570.15421916"
"2014.0","10.0","4.0","277.0","13474.0","0.45","1.1","0.0","4.17","1.1","4.587","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","1.0","13474.0","32.29","35.519","1570.15421916"
"2014.0","10.0","5.0","278.0","13474.0","0.43","1.1","0.0","4.03","1.1","4.433","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","2.0","13474.0","56.46","62.106","2745.46011811"
"2014.0","10.0","6.0","279.0","13474.0","0.41","1.1","0.0","4.09","1.1","4.499","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","3.0","13474.0","104.49","114.939","5080.99765748"
"2014.0","10.0","7.0","280.0","13474.0","0.39","1.1","0.0","4.24","1.1","4.664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","4.0","13474.0","140.05","154.055","6810.16099081"
"2014.0","10.0","8.0","281.0","13474.0","0.37","1.1","0.0","4.92","1.1","5.412","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","5.0","13474.0","157.44","173.184","7655.77826772"
"2014.0","10.0","9.0","282.0","13474.0","0.36","1.1","0.0","4.33","1.1","4.763","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","6.0","13474.0","206.92","227.612","10061.8244357"
"2014.0","10.0","10.0","283.0","13474.0","0.34","1.1","0.0","3.75","1.1","4.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","7.0","13474.0","214.06","235.466","10409.0186483"
"2014.0","10.0","11.0","284.0","13474.0","0.33","1.1","0.0","3.53","1.1","3.883","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","8.0","13474.0","194.99","214.489","9481.70861549"
"2014.0","10.0","12.0","285.0","13474.0","0.32","1.1","0.0","6.45","1.1","7.095","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","9.0","13474.0","149.52","164.472","7270.65527559"
"2014.0","10.0","13.0","286.0","13474.0","0.31","1.1","0.0","4.08","1.1","4.488","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","13474.0","0.3","1.1","0.0","3.18","1.1","3.498","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","13474.0","0.3","1.1","0.0","2.39","1.1","2.629","0.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
