" Daily soil water balance output for Olives in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Olives in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","19.0","0.57","0.7","0.0","6.01","0.7","4.21","0.0","0.0","0.0","0.0","83.23","131.19","585.22","292.61","501.99","454.03","0.0","","2014.0","10.0","19.0","101.46","71.03","4.42772309711"
"2014.0","10.0","2.0","275.0","19.0","0.52","0.7","0.0","4.13","0.7","2.89","0.0","0.0","0.0","0.0","86.12","131.19","585.22","292.61","499.1","454.03","0.0","","2014.0","11.0","19.0","43.45","43.6","2.71784776903"
"2014.0","10.0","3.0","276.0","19.0","0.49","0.7","0.0","4.1","0.7","2.87","0.0","0.0","0.0","0.0","88.99","131.19","585.22","292.61","496.23","454.03","0.0","","2014.0","12.0","19.0","31.93","34.69","2.1624343832"
"2014.0","10.0","4.0","277.0","19.0","0.46","0.7","0.0","4.11","0.7","2.88","0.0","0.0","0.0","0.0","91.87","131.19","585.22","292.61","493.35","454.03","0.0","","2015.0","1.0","19.0","32.71","22.91","1.4281167979"
"2014.0","10.0","5.0","278.0","19.0","0.43","0.7","0.0","3.99","0.7","2.79","0.0","0.0","0.0","0.0","94.66","146.3","585.22","292.61","490.56","438.91","0.0","","2015.0","2.0","19.0","56.48","44.65","2.78330052493"
"2014.0","10.0","6.0","279.0","19.0","0.41","0.7","0.0","4.02","0.7","2.81","0.0","0.0","0.0","0.0","97.47","146.3","585.22","292.61","487.74","438.91","0.0","","2015.0","3.0","19.0","103.75","79.22","4.93825459318"
"2014.0","10.0","7.0","280.0","19.0","0.39","0.7","0.0","4.14","0.7","2.9","0.0","0.0","0.0","0.0","100.37","146.3","585.22","292.61","484.85","438.91","0.0","","2015.0","4.0","19.0","139.25","103.92","6.47795275591"
"2014.0","10.0","8.0","281.0","19.0","0.37","0.7","0.0","4.75","0.7","3.33","0.0","0.0","0.0","0.0","103.7","146.3","585.22","292.61","481.52","438.91","0.0","","2015.0","5.0","19.0","156.1","109.26","6.81082677165"
"2014.0","10.0","9.0","282.0","19.0","0.36","0.7","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","106.64","146.3","585.22","292.61","478.58","438.91","0.0","","2015.0","6.0","19.0","203.55","142.5","8.88287401575"
"2014.0","10.0","10.0","283.0","19.0","0.35","0.7","0.0","3.66","0.7","2.56","0.0","0.0","0.0","0.0","109.2","146.3","585.22","292.61","476.02","438.91","0.0","","2015.0","7.0","19.0","210.84","147.59","9.20016404199"
"2014.0","10.0","11.0","284.0","19.0","0.34","0.7","0.0","3.47","0.7","2.43","0.0","0.0","0.0","0.0","111.63","146.3","585.22","292.61","473.59","438.91","0.0","","2015.0","8.0","19.0","191.5","134.05","8.3561351706"
"2014.0","10.0","12.0","285.0","19.0","0.32","0.7","0.0","6.52","0.7","4.56","0.0","0.0","0.0","0.0","116.19","146.3","585.22","292.61","469.03","438.91","0.0","","2015.0","9.0","19.0","147.5","103.28","6.43805774278"
"2014.0","10.0","13.0","286.0","19.0","0.31","0.7","0.0","4.07","0.7","2.85","0.0","0.0","0.0","0.0","119.04","146.3","585.22","292.61","466.18","438.91","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","19.0","0.31","0.7","0.0","3.0","0.7","2.1","0.0","0.0","0.0","0.0","121.14","146.3","585.22","292.61","464.08","438.91","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","19.0","0.3","0.7","0.0","2.3","0.7","1.61","0.46","0.46","0.0","0.0","122.29","146.3","585.22","292.61","462.93","438.91","0.0","","","","","","",""
