" Daily soil water balance output for Vineyard in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","1517.0","0.08","0.62","0.0","5.56","0.62","3.45","0.0","0.0","0.0","0.0","86.21","142.49","569.98","284.99","483.77","427.48","0.0","","2014.0","10.0","1517.0","100.46","50.86","253.131955381","68.85","342.668799213"
"2014.0","10.0","2.0","275.0","1517.0","0.08","0.61","0.0","4.08","0.61","2.49","0.0","0.0","0.0","0.0","88.7","142.49","569.98","284.99","481.28","427.48","0.0","","2014.0","11.0","1517.0","43.94","26.21","130.448064304","14.92","74.2573490814"
"2014.0","10.0","3.0","276.0","1517.0","0.08","0.6","0.0","4.13","0.6","2.49","0.0","0.0","0.0","0.0","91.18","142.49","569.98","284.99","478.79","427.48","0.0","","2014.0","12.0","1517.0","32.25","35.14","174.892979003","0.0","0.0"
"2014.0","10.0","4.0","277.0","1517.0","0.08","0.59","0.0","4.12","0.59","2.44","0.0","0.0","0.0","0.0","93.63","142.49","569.98","284.99","476.35","427.48","0.0","","2015.0","1.0","1517.0","31.89","16.61","82.6685367454","0.0","0.0"
"2014.0","10.0","5.0","278.0","1517.0","0.08","0.58","0.0","3.97","0.58","2.32","0.0","0.0","0.0","0.0","95.95","142.49","569.98","284.99","474.03","427.48","0.0","","2015.0","2.0","1517.0","56.06","37.9","188.629593176","0.0","0.0"
"2014.0","10.0","6.0","279.0","1517.0","0.08","0.58","0.0","3.97","0.58","2.28","0.0","0.0","0.0","0.0","98.23","142.49","569.98","284.99","471.75","427.48","0.0","","2015.0","3.0","1517.0","102.94","49.15","244.621227034","0.0","0.0"
"2014.0","10.0","7.0","280.0","1517.0","0.08","0.57","0.0","4.08","0.57","2.31","0.0","0.0","0.0","0.0","100.54","142.49","569.98","284.99","469.44","427.48","0.0","","2015.0","4.0","1517.0","136.61","79.16","393.982020997","87.43","435.142093176"
"2014.0","10.0","8.0","281.0","1517.0","0.08","0.56","0.0","4.81","0.56","2.68","0.0","0.0","0.0","0.0","103.22","142.49","569.98","284.99","466.76","427.48","0.0","","2015.0","5.0","1517.0","150.49","100.64","500.888713911","120.27","598.587893701"
"2014.0","10.0","9.0","282.0","1517.0","0.08","0.55","0.0","4.12","0.55","2.26","0.0","0.0","0.0","0.0","105.48","142.49","569.98","284.99","464.5","427.48","0.0","","2015.0","6.0","1517.0","196.51","156.97","781.245045932","195.12","971.118897638"
"2014.0","10.0","10.0","283.0","1517.0","0.08","0.54","0.0","3.54","0.54","1.91","0.0","0.0","0.0","0.0","107.38","142.49","569.98","284.99","462.59","427.48","0.0","","2015.0","7.0","1517.0","204.06","163.26","812.550590551","204.06","1015.61358268"
"2014.0","10.0","11.0","284.0","1517.0","0.08","0.53","0.0","3.45","0.53","1.83","0.0","0.0","0.0","0.0","109.21","142.49","569.98","284.99","460.76","427.48","0.0","","2015.0","8.0","1517.0","187.5","150.0","746.55511811","187.5","933.193897638"
"2014.0","10.0","12.0","285.0","1517.0","0.08","0.52","0.0","6.01","0.52","3.13","0.0","0.0","0.0","0.0","112.34","142.49","569.98","284.99","457.63","427.48","0.0","","2015.0","9.0","1517.0","144.17","108.01","537.569455381","134.46","669.212007874"
"2014.0","10.0","13.0","286.0","1517.0","0.08","0.51","0.0","3.98","0.51","2.04","0.0","0.0","0.0","0.0","114.38","142.49","569.98","284.99","455.6","427.48","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","1517.0","0.08","0.5","0.0","3.08","0.5","1.55","0.0","0.0","0.0","0.0","115.93","142.49","569.98","284.99","454.05","427.48","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","1517.0","0.08","0.49","0.0","2.4","0.49","1.19","0.0","0.0","0.0","0.0","117.12","142.49","569.98","284.99","452.86","427.48","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","1517.0","0.08","0.49","0.0","2.69","0.49","1.3","0.0","0.0","0.0","0.0","118.42","142.49","569.98","284.99","451.56","427.48","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","1517.0","0.08","0.48","0.0","2.49","0.48","1.19","0.0","0.0","0.0","0.0","119.61","142.49","569.98","284.99","450.37","427.48","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","1517.0","0.08","0.47","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","120.94","142.49","569.98","284.99","449.04","427.48","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","1517.0","0.08","0.46","0.0","2.85","0.46","1.31","0.0","0.0","0.0","0.0","122.24","142.49","569.98","284.99","447.73","427.48","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","1517.0","0.08","0.45","0.0","2.16","0.45","0.97","0.0","0.0","0.0","0.0","123.21","142.49","569.98","284.99","446.76","427.48","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","1517.0","0.08","0.44","0.0","2.66","0.44","1.17","0.0","0.0","0.0","0.0","124.38","142.49","569.98","284.99","445.59","427.48","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","1517.0","0.08","0.43","0.0","2.54","0.43","1.09","0.0","0.0","0.0","0.0","125.48","142.49","569.98","284.99","444.5","427.48","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","1517.0","0.08","0.42","0.0","2.49","0.42","1.05","0.0","0.0","0.0","0.0","126.53","142.49","569.98","284.99","443.45","427.48","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","1517.0","0.08","0.41","0.0","2.54","0.41","1.05","0.0","0.0","0.0","0.0","127.58","142.49","569.98","284.99","442.4","427.48","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","1517.0","0.08","0.4","0.0","2.22","0.4","0.9","0.0","0.0","0.0","0.0","128.47","142.49","569.98","284.99","441.5","427.48","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","1517.0","0.08","0.4","0.0","2.66","0.4","1.05","0.87","0.87","0.0","0.0","128.65","142.49","569.98","284.99","441.32","427.48","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","1517.0","0.08","0.39","0.0","2.48","0.39","0.96","0.0","0.0","0.0","0.0","129.61","142.49","569.98","284.99","440.36","427.48","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","1517.0","0.08","0.38","0.0","2.36","0.38","0.89","0.0","0.0","0.0","0.0","130.5","142.49","569.98","284.99","439.47","427.48","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","1517.0","0.08","0.37","0.0","2.44","0.37","0.9","0.0","0.0","0.0","0.0","131.4","142.49","569.98","284.99","438.58","427.48","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","1517.0","0.08","0.36","0.0","2.44","0.36","0.88","0.0","0.0","0.0","0.0","132.27","142.49","569.98","284.99","437.7","427.48","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","1517.0","0.08","0.35","0.0","1.29","0.35","0.45","0.07","0.07","0.0","0.0","132.66","142.49","569.98","284.99","437.32","427.48","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","1517.0","0.08","0.0","0.0","1.83","0.08","0.15","5.22","5.22","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","1517.0","0.08","0.0","0.0","2.18","0.08","0.18","0.0","0.0","0.0","0.0","28.23","28.05","569.98","284.99","541.75","541.93","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","1517.0","0.08","0.0","0.0","1.8","0.08","0.15","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","1517.0","0.08","0.0","0.0","1.75","0.08","0.14","0.0","0.0","0.0","0.0","28.19","28.05","569.98","284.99","541.78","541.93","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","1517.0","0.08","0.0","0.0","1.9","0.08","0.15","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
