" Daily soil water balance output for Water Surface in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","45.0","0.08","1.1","0.0","5.32","1.1","5.852","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","10.0","45.0","100.62","110.682","16.3408464567"
"2014.0","10.0","2.0","275.0","45.0","0.08","1.1","0.0","4.09","1.1","4.499","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","11.0","45.0","44.55","49.005","7.23499015748"
"2014.0","10.0","3.0","276.0","45.0","0.08","1.1","0.0","4.19","1.1","4.609","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","12.0","45.0","32.61","35.871","5.29591535433"
"2014.0","10.0","4.0","277.0","45.0","0.08","1.1","0.0","4.16","1.1","4.576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","1.0","45.0","32.17","35.387","5.22445866142"
"2014.0","10.0","5.0","278.0","45.0","0.08","1.1","0.0","4.02","1.1","4.422","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","2.0","45.0","56.25","61.875","9.13508858268"
"2014.0","10.0","6.0","279.0","45.0","0.08","1.1","0.0","3.98","1.1","4.378","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","3.0","45.0","102.43","112.673","16.6347933071"
"2014.0","10.0","7.0","280.0","45.0","0.08","1.1","0.0","4.04","1.1","4.444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","4.0","45.0","135.2","148.72","21.9566929134"
"2014.0","10.0","8.0","281.0","45.0","0.08","1.1","0.0","4.82","1.1","5.302","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","5.0","45.0","148.97","163.867","24.1929625984"
"2014.0","10.0","9.0","282.0","45.0","0.08","1.1","0.0","4.07","1.1","4.477","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","6.0","45.0","193.42","212.762","31.4117125984"
"2014.0","10.0","10.0","283.0","45.0","0.08","1.1","0.0","3.48","1.1","3.828","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","7.0","45.0","200.86","220.946","32.619980315"
"2014.0","10.0","11.0","284.0","45.0","0.08","1.1","0.0","3.42","1.1","3.762","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","8.0","45.0","184.58","203.038","29.9760826772"
"2014.0","10.0","12.0","285.0","45.0","0.08","1.1","0.0","5.74","1.1","6.314","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","9.0","45.0","143.41","157.751","23.2900098425"
"2014.0","10.0","13.0","286.0","45.0","0.08","1.1","0.0","3.97","1.1","4.367","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","45.0","0.08","1.1","0.0","3.13","1.1","3.443","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","45.0","0.08","1.1","0.0","2.43","1.1","2.673","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
