" Daily soil water balance output for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","9455.0","0.57","0.9","0.0","5.96","0.9","5.36","0.0","0.0","0.0","0.0","64.6","126.74","601.67","300.83","537.07","474.93","0.0","","2014.0","10.0","9455.0","103.02","92.72","2876.20603675"
"2014.0","10.0","2.0","275.0","9455.0","0.52","0.9","0.0","4.15","0.9","3.74","0.0","0.0","0.0","0.0","68.34","126.74","601.67","300.83","533.33","474.93","0.0","","2014.0","11.0","9455.0","43.68","45.92","1424.45406824"
"2014.0","10.0","3.0","276.0","9455.0","0.48","0.9","0.0","4.14","0.9","3.73","0.0","0.0","0.0","0.0","72.06","126.74","601.67","300.83","529.61","474.93","0.0","","2014.0","12.0","9455.0","32.29","36.77","1140.61794619"
"2014.0","10.0","4.0","277.0","9455.0","0.45","0.9","0.0","4.17","0.9","3.75","0.0","0.0","0.0","0.0","75.81","126.74","601.67","300.83","525.86","474.93","0.0","","2015.0","1.0","9455.0","32.29","29.06","901.451115486"
"2014.0","10.0","5.0","278.0","9455.0","0.43","0.9","0.0","4.03","0.9","3.63","0.0","0.0","0.0","0.0","79.44","126.74","601.67","300.83","522.23","474.93","0.0","","2015.0","2.0","9455.0","56.46","53.11","1647.49032152"
"2014.0","10.0","6.0","279.0","9455.0","0.41","0.9","0.0","4.09","0.9","3.68","0.0","0.0","0.0","0.0","83.12","126.74","601.67","300.83","518.55","474.93","0.0","","2015.0","3.0","9455.0","104.49","95.2","2953.13648294"
"2014.0","10.0","7.0","280.0","9455.0","0.39","0.9","0.0","4.24","0.9","3.82","0.0","0.0","0.0","0.0","86.94","126.74","601.67","300.83","514.73","474.93","0.0","","2015.0","4.0","9455.0","140.05","127.9","3967.50164042"
"2014.0","10.0","8.0","281.0","9455.0","0.37","0.9","0.0","4.92","0.9","4.43","0.0","0.0","0.0","0.0","91.37","126.74","601.67","300.83","510.3","474.93","0.0","","2015.0","5.0","9455.0","157.44","141.74","4396.82316273"
"2014.0","10.0","9.0","282.0","9455.0","0.36","0.9","0.0","4.33","0.9","3.9","0.0","0.0","0.0","0.0","95.26","126.74","601.67","300.83","506.41","474.93","0.0","","2015.0","6.0","9455.0","206.92","186.23","5776.91814304"
"2014.0","10.0","10.0","283.0","9455.0","0.34","0.9","0.0","3.75","0.9","3.38","0.0","0.0","0.0","0.0","98.64","126.74","601.67","300.83","503.03","474.93","0.0","","2015.0","7.0","9455.0","214.06","192.67","5976.68914042"
"2014.0","10.0","11.0","284.0","9455.0","0.33","0.9","0.0","3.53","0.9","3.18","0.0","0.0","0.0","0.0","101.82","126.74","601.67","300.83","499.85","474.93","0.0","","2015.0","8.0","9455.0","194.99","175.53","5445.00049213"
"2014.0","10.0","12.0","285.0","9455.0","0.32","0.9","0.0","6.45","0.9","5.81","0.0","0.0","0.0","0.0","107.62","126.74","601.67","300.83","494.05","474.93","0.0","","2015.0","9.0","9455.0","149.52","134.59","4175.0277231"
"2014.0","10.0","13.0","286.0","9455.0","0.31","0.9","0.0","4.08","0.9","3.67","0.0","0.0","0.0","0.0","111.29","126.74","601.67","300.83","490.38","474.93","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","9455.0","0.3","0.9","0.0","3.18","0.9","2.86","0.0","0.0","0.0","0.0","114.15","126.74","601.67","300.83","487.52","474.93","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","9455.0","0.3","0.9","0.0","2.39","0.9","2.15","0.15","0.15","0.0","0.0","116.16","126.74","601.67","300.83","485.51","474.93","0.0","","","","","","",""
