" Daily soil water balance output for Tomato Fresh in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Tomato Fresh in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","4343.0","0.08","0.0","0.0","5.56","0.08","0.47","0.0","0.0","0.0","0.0","22.61","25.5","518.16","259.08","495.55","492.66","0.0","","2014.0","10.0","4343.0","100.46","8.3","118.264107612","0.0","0.0"
"2014.0","10.0","2.0","275.0","4343.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","22.95","25.5","518.16","259.08","495.21","492.66","0.0","","2014.0","11.0","4343.0","43.94","26.21","373.458103675","0.0","0.0"
"2014.0","10.0","3.0","276.0","4343.0","0.08","0.0","0.0","4.13","0.08","0.35","0.0","0.0","0.0","0.0","23.3","25.5","518.16","259.08","494.86","492.66","0.0","","2014.0","12.0","4343.0","32.25","35.14","500.698884514","0.0","0.0"
"2014.0","10.0","4.0","277.0","4343.0","0.08","0.0","0.0","4.12","0.08","0.35","0.0","0.0","0.0","0.0","23.64","25.5","518.16","259.08","494.52","492.66","0.0","","2015.0","1.0","4343.0","31.89","16.61","236.6707021","0.0","0.0"
"2014.0","10.0","5.0","278.0","4343.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","23.97","25.5","518.16","259.08","494.19","492.66","0.0","","2015.0","2.0","4343.0","56.06","37.9","540.025262467","0.0","0.0"
"2014.0","10.0","6.0","279.0","4343.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","24.31","25.5","518.16","259.08","493.85","492.66","0.0","","2015.0","3.0","4343.0","102.94","49.15","700.322998688","0.0","0.0"
"2014.0","10.0","7.0","280.0","4343.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","24.65","25.5","518.16","259.08","493.51","492.66","0.0","","2015.0","4.0","4343.0","136.61","72.68","1035.59461942","72.69","1035.7371063"
"2014.0","10.0","8.0","281.0","4343.0","0.08","0.0","0.0","4.81","0.08","0.4","0.0","0.0","0.0","0.0","25.05","25.5","518.16","259.08","493.11","492.66","0.0","","2015.0","5.0","4343.0","150.49","96.61","1376.56571522","67.67","964.208694226"
"2014.0","10.0","9.0","282.0","4343.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","25.39","25.5","518.16","259.08","492.77","492.66","0.0","","2015.0","6.0","4343.0","196.51","213.66","3044.3746063","199.44","2841.75826772"
"2014.0","10.0","10.0","283.0","4343.0","0.08","0.0","0.0","3.54","0.08","0.29","0.0","0.0","0.0","0.0","25.68","25.5","518.16","259.08","492.48","492.66","0.0","","2015.0","7.0","4343.0","204.06","223.48","3184.29671916","224.47","3198.40291995"
"2014.0","10.0","11.0","284.0","4343.0","0.08","0.0","0.0","3.45","0.08","0.29","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","2015.0","8.0","4343.0","187.5","148.43","2114.93270997","196.89","2805.42411417"
"2014.0","10.0","12.0","285.0","4343.0","0.08","0.0","0.0","6.01","0.08","0.5","0.0","0.0","0.0","0.0","26.0","25.5","518.16","259.08","492.16","492.66","0.0","","2015.0","9.0","4343.0","144.17","12.83","182.81066273","0.0","0.0"
"2014.0","10.0","13.0","286.0","4343.0","0.08","0.0","0.0","3.98","0.08","0.33","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","4343.0","0.08","0.0","0.0","3.08","0.08","0.25","0.0","0.0","0.0","0.0","25.75","25.5","518.16","259.08","492.41","492.66","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","4343.0","0.08","0.0","0.0","2.4","0.08","0.2","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","4343.0","0.08","0.0","0.0","2.69","0.08","0.22","0.0","0.0","0.0","0.0","25.72","25.5","518.16","259.08","492.44","492.66","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","4343.0","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","4343.0","0.08","0.0","0.0","2.85","0.08","0.23","0.0","0.0","0.0","0.0","25.73","25.5","518.16","259.08","492.43","492.66","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","4343.0","0.08","0.0","0.0","2.85","0.08","0.23","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","4343.0","0.08","0.0","0.0","2.16","0.08","0.18","0.0","0.0","0.0","0.0","25.68","25.5","518.16","259.08","492.48","492.66","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","4343.0","0.08","0.0","0.0","2.66","0.08","0.22","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","4343.0","0.08","0.0","0.0","2.54","0.08","0.21","0.0","0.0","0.0","0.0","25.71","25.5","518.16","259.08","492.45","492.66","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","4343.0","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","4343.0","0.08","0.0","0.0","2.54","0.08","0.21","0.0","0.0","0.0","0.0","25.71","25.5","518.16","259.08","492.45","492.66","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","4343.0","0.08","0.0","0.0","2.22","0.08","0.18","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","4343.0","0.08","0.0","0.0","2.66","0.08","0.22","0.87","0.87","0.0","0.0","24.85","25.5","518.16","259.08","493.31","492.66","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","4343.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","25.05","25.5","518.16","259.08","493.11","492.66","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","4343.0","0.08","0.0","0.0","2.36","0.08","0.19","0.0","0.0","0.0","0.0","25.24","25.5","518.16","259.08","492.92","492.66","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","4343.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","25.44","25.5","518.16","259.08","492.72","492.66","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","4343.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","25.64","25.5","518.16","259.08","492.52","492.66","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","4343.0","0.08","0.0","0.0","1.29","0.08","0.1","0.07","0.07","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","4343.0","0.08","0.0","0.0","1.83","0.08","0.15","5.22","5.22","0.0","0.0","20.43","25.5","518.16","259.08","497.73","492.66","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","4343.0","0.08","0.0","0.0","2.18","0.08","0.18","0.0","0.0","0.0","0.0","20.6","25.5","518.16","259.08","497.56","492.66","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","4343.0","0.08","0.0","0.0","1.8","0.08","0.15","0.0","0.0","0.0","0.0","20.75","25.5","518.16","259.08","497.41","492.66","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","4343.0","0.08","0.0","0.0","1.75","0.08","0.14","0.0","0.0","0.0","0.0","20.89","25.5","518.16","259.08","497.27","492.66","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","4343.0","0.08","0.0","0.0","1.9","0.08","0.15","0.0","0.0","0.0","0.0","21.05","25.5","518.16","259.08","497.11","492.66","0.0","","","","","","","","",""
