" Daily soil water balance output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","18081.0","0.57","0.0","0.0","5.96","0.57","3.38","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","2014.0","10.0","18081.0","103.02","35.97","2133.77155512","0.0","0.0"
"2014.0","10.0","2.0","275.0","18081.0","0.52","0.0","0.0","4.15","0.52","2.16","0.0","0.0","0.0","0.0","36.36","34.2","486.46","243.23","450.1","452.26","0.0","","2014.0","11.0","18081.0","43.68","43.33","2570.37312992","0.0","0.0"
"2014.0","10.0","3.0","276.0","18081.0","0.48","0.0","0.0","4.14","0.48","2.0","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","2014.0","12.0","18081.0","32.29","36.63","2172.92332677","0.0","0.0"
"2014.0","10.0","4.0","277.0","18081.0","0.45","0.0","0.0","4.17","0.45","1.89","0.0","0.0","0.0","0.0","36.09","34.2","486.46","243.23","450.37","452.26","0.0","","2015.0","1.0","18081.0","32.29","18.19","1079.04655512","0.0","0.0"
"2014.0","10.0","5.0","278.0","18081.0","0.43","0.0","0.0","4.03","0.43","1.73","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","2015.0","2.0","18081.0","56.46","36.47","2163.43198819","0.0","0.0"
"2014.0","10.0","6.0","279.0","18081.0","0.41","0.0","0.0","4.09","0.41","1.67","0.0","0.0","0.0","0.0","35.87","34.2","486.46","243.23","450.59","452.26","0.0","","2015.0","3.0","18081.0","104.49","49.32","2925.70511811","0.0","0.0"
"2014.0","10.0","7.0","280.0","18081.0","0.39","0.0","0.0","4.24","0.39","1.65","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","2015.0","4.0","18081.0","140.05","68.86","4084.83484252","0.0","0.0"
"2014.0","10.0","8.0","281.0","18081.0","0.37","0.0","0.0","4.92","0.37","1.82","0.0","0.0","0.0","0.0","36.02","34.2","486.46","243.23","450.44","452.26","0.0","","2015.0","5.0","18081.0","157.44","44.08","2614.86377953","41.63","2469.52765748"
"2014.0","10.0","9.0","282.0","18081.0","0.36","0.0","0.0","4.33","0.36","1.54","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","2015.0","6.0","18081.0","206.92","162.76","9655.06417323","114.82","6811.22185039"
"2014.0","10.0","10.0","283.0","18081.0","0.34","0.0","0.0","3.75","0.34","1.29","0.0","0.0","0.0","0.0","35.49","34.2","486.46","243.23","450.97","452.26","0.0","","2015.0","7.0","18081.0","214.06","224.78","13334.1442913","215.9","12807.375"
"2014.0","10.0","11.0","284.0","18081.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","2015.0","8.0","18081.0","194.99","162.48","9638.45433071","200.84","11914.0027559"
"2014.0","10.0","12.0","285.0","18081.0","0.32","0.0","0.0","6.45","0.32","2.05","0.0","0.0","0.0","0.0","36.25","34.2","486.46","243.23","450.21","452.26","0.0","","2015.0","9.0","18081.0","149.52","15.85","940.235728346","135.91","8062.29891732"
"2014.0","10.0","13.0","286.0","18081.0","0.31","0.0","0.0","4.08","0.31","1.26","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","18081.0","0.3","0.0","0.0","3.18","0.3","0.96","0.0","0.0","0.0","0.0","35.16","34.2","486.46","243.23","451.3","452.26","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","18081.0","0.3","0.0","0.0","2.39","0.3","0.72","0.15","0.15","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","18081.0","0.29","0.0","0.0","2.7","0.29","0.8","0.0","0.0","0.0","0.0","35.0","34.2","486.46","243.23","451.47","452.26","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","18081.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","18081.0","0.29","0.0","0.0","2.88","0.29","0.82","0.0","0.0","0.0","0.0","35.02","34.2","486.46","243.23","451.44","452.26","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","18081.0","0.28","0.0","0.0","2.97","0.28","0.84","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","18081.0","0.28","0.0","0.0","2.25","0.28","0.63","0.0","0.0","0.0","0.0","34.83","34.2","486.46","243.23","451.63","452.26","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","18081.0","0.27","0.0","0.0","2.67","0.27","0.73","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","18081.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","34.9","34.2","486.46","243.23","451.56","452.26","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","18081.0","0.27","0.0","0.0","2.51","0.27","0.67","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","18081.0","0.27","0.0","0.0","2.57","0.27","0.68","0.0","0.0","0.0","0.0","34.88","34.2","486.46","243.23","451.58","452.26","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","18081.0","0.26","0.0","0.0","2.27","0.26","0.6","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","18081.0","0.26","0.0","0.0","2.66","0.26","0.69","1.25","1.25","0.0","0.0","33.64","34.2","486.46","243.23","452.82","452.26","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","18081.0","0.26","0.0","0.0","2.48","0.26","0.64","0.0","0.0","0.0","0.0","34.28","34.2","486.46","243.23","452.18","452.26","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","18081.0","0.25","0.0","0.0","2.37","0.25","0.6","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","18081.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","34.8","34.2","486.46","243.23","451.66","452.26","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","18081.0","0.25","0.0","0.0","2.51","0.25","0.62","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","18081.0","0.25","0.0","0.0","1.29","0.25","0.32","0.01","0.01","0.0","0.0","34.51","34.2","486.46","243.23","451.95","452.26","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","18081.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","27.41","34.2","486.46","243.23","459.05","452.26","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","18081.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","29.93","34.2","486.46","243.23","456.53","452.26","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","18081.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","31.98","34.2","486.46","243.23","454.48","452.26","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","18081.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","33.75","34.2","486.46","243.23","452.71","452.26","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","18081.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","35.4","34.2","486.46","243.23","451.06","452.26","0.0","","","","","","","","",""
