" Daily soil water balance output for Walnuts in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Walnuts in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","511.0","0.08","1.05","0.0","5.56","1.05","5.84","0.0","0.0","0.0","0.0","110.92","116.59","466.34","233.17","355.43","349.76","0.0","","2014.0","10.0","511.0","100.46","94.9","159.100721785","90.36","151.489370079"
"2014.0","10.0","2.0","275.0","511.0","0.08","1.04","0.0","4.08","1.04","4.25","0.0","0.0","0.0","0.0","115.17","116.59","466.34","233.17","351.18","349.76","0.0","","2014.0","11.0","511.0","43.94","26.21","43.9413057743","0.0","0.0"
"2014.0","10.0","3.0","276.0","511.0","0.08","1.03","0.0","4.13","1.03","4.27","0.0","0.0","0.0","0.0","0.0","116.59","466.34","233.17","466.34","349.76","119.43","","2014.0","12.0","511.0","32.25","35.14","58.9125328084","0.0","0.0"
"2014.0","10.0","4.0","277.0","511.0","0.08","1.03","0.0","4.12","1.03","4.22","0.0","0.0","0.0","0.0","4.22","116.59","466.34","233.17","462.12","349.76","0.0","","2015.0","1.0","511.0","31.89","16.61","27.8468175853","0.0","0.0"
"2014.0","10.0","5.0","278.0","511.0","0.08","1.02","0.0","3.97","1.02","4.04","0.0","0.0","0.0","0.0","8.26","116.59","466.34","233.17","458.08","349.76","0.0","","2015.0","2.0","511.0","56.06","37.9","63.5396981627","0.0","0.0"
"2014.0","10.0","6.0","279.0","511.0","0.08","1.01","0.0","3.97","1.01","4.0","0.0","0.0","0.0","0.0","12.26","116.59","466.34","233.17","454.08","349.76","0.0","","2015.0","3.0","511.0","102.94","49.15","82.4004265092","69.77","116.970045932"
"2014.0","10.0","7.0","280.0","511.0","0.08","1.0","0.0","4.08","1.0","4.08","0.0","0.0","0.0","0.0","16.34","116.59","466.34","233.17","450.0","349.76","0.0","","2015.0","4.0","511.0","136.61","85.65","143.593011811","112.28","188.238451444"
"2014.0","10.0","8.0","281.0","511.0","0.08","0.99","0.0","4.81","0.99","4.77","0.0","0.0","0.0","0.0","21.11","116.59","466.34","233.17","445.23","349.76","0.0","","2015.0","5.0","511.0","150.49","117.18","196.453346457","139.2","233.37007874"
"2014.0","10.0","9.0","282.0","511.0","0.08","0.98","0.0","4.12","0.98","4.05","0.0","0.0","0.0","0.0","25.16","116.59","466.34","233.17","441.18","349.76","0.0","","2015.0","6.0","511.0","196.51","197.55","331.194389764","211.7","354.916994751"
"2014.0","10.0","10.0","283.0","511.0","0.08","0.98","0.0","3.54","0.98","3.45","0.0","0.0","0.0","0.0","28.62","116.59","466.34","233.17","437.73","349.76","0.0","","2015.0","7.0","511.0","204.06","233.88","392.101968504","234.67","393.426410761"
"2014.0","10.0","11.0","284.0","511.0","0.08","0.97","0.0","3.45","0.97","3.34","0.0","0.0","0.0","0.0","31.95","116.59","466.34","233.17","434.39","349.76","0.0","","2015.0","8.0","511.0","187.5","215.63","361.505675853","215.63","361.505675853"
"2014.0","10.0","12.0","285.0","511.0","0.08","0.96","0.0","6.01","0.96","5.76","0.0","0.0","0.0","0.0","37.71","116.59","466.34","233.17","428.63","349.76","0.0","","2015.0","9.0","511.0","144.17","163.54","274.176312336","153.71","257.696227034"
"2014.0","10.0","13.0","286.0","511.0","0.08","0.95","0.0","3.98","0.95","3.78","0.0","0.0","0.0","0.0","41.49","116.59","466.34","233.17","424.85","349.76","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","511.0","0.08","0.94","0.0","3.08","0.94","2.9","0.0","0.0","0.0","0.0","44.39","116.59","466.34","233.17","421.95","349.76","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","511.0","0.08","0.93","0.0","2.4","0.93","2.24","0.0","0.0","0.0","0.0","46.63","116.59","466.34","233.17","419.71","349.76","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","511.0","0.08","0.93","0.0","2.69","0.93","2.49","0.0","0.0","0.0","0.0","49.12","116.59","466.34","233.17","417.22","349.76","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","511.0","0.08","0.92","0.0","2.49","0.92","2.28","0.0","0.0","0.0","0.0","51.4","116.59","466.34","233.17","414.94","349.76","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","511.0","0.08","0.91","0.0","2.85","0.91","2.59","0.0","0.0","0.0","0.0","53.99","116.59","466.34","233.17","412.35","349.76","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","511.0","0.08","0.9","0.0","2.85","0.9","2.57","0.0","0.0","0.0","0.0","56.56","116.59","466.34","233.17","409.79","349.76","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","511.0","0.08","0.89","0.0","2.16","0.89","1.93","0.0","0.0","0.0","0.0","58.48","116.59","466.34","233.17","407.86","349.76","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","511.0","0.08","0.88","0.0","2.66","0.88","2.35","0.0","0.0","0.0","0.0","60.83","116.59","466.34","233.17","405.51","349.76","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","511.0","0.08","0.88","0.0","2.54","0.88","2.22","0.0","0.0","0.0","0.0","63.05","116.59","466.34","233.17","403.29","349.76","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","511.0","0.08","0.87","0.0","2.49","0.87","2.16","0.0","0.0","0.0","0.0","65.21","116.59","466.34","233.17","401.13","349.76","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","511.0","0.08","0.86","0.0","2.54","0.86","2.18","0.0","0.0","0.0","0.0","67.39","116.59","466.34","233.17","398.95","349.76","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","511.0","0.08","0.85","0.0","2.22","0.85","1.89","0.0","0.0","0.0","0.0","69.28","116.59","466.34","233.17","397.07","349.76","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","511.0","0.08","0.84","0.0","2.66","0.84","2.24","0.87","0.87","0.0","0.0","70.65","116.59","466.34","233.17","395.7","349.76","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","511.0","0.08","0.83","0.0","2.48","0.83","2.07","0.0","0.0","0.0","0.0","72.71","116.59","466.34","233.17","393.63","349.76","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","511.0","0.08","0.83","0.0","2.36","0.83","1.95","0.0","0.0","0.0","0.0","74.66","116.59","466.34","233.17","391.68","349.76","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","511.0","0.08","0.82","0.0","2.44","0.82","1.99","0.0","0.0","0.0","0.0","76.65","116.59","466.34","233.17","389.69","349.76","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","511.0","0.08","0.81","0.0","2.44","0.81","1.97","0.0","0.0","0.0","0.0","78.63","116.59","466.34","233.17","387.72","349.76","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","511.0","0.08","0.8","0.0","1.29","0.8","1.03","0.07","0.07","0.0","0.0","79.59","116.59","466.34","233.17","386.76","349.76","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","511.0","0.08","0.0","0.0","1.83","0.08","0.15","5.22","5.22","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","511.0","0.08","0.0","0.0","2.18","0.08","0.18","0.0","0.0","0.0","0.0","23.13","22.95","466.34","233.17","443.22","443.39","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","511.0","0.08","0.0","0.0","1.8","0.08","0.15","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","511.0","0.08","0.0","0.0","1.75","0.08","0.14","0.0","0.0","0.0","0.0","23.09","22.95","466.34","233.17","443.25","443.39","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","511.0","0.08","0.0","0.0","1.9","0.08","0.15","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
