" Daily soil water balance output for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","7857.0","0.57","0.9","0.0","6.01","0.9","5.41","0.0","0.0","0.0","0.0","52.78","113.01","536.45","268.22","483.67","423.44","0.0","","2014.0","10.0","7857.0","101.46","91.33","2354.2644685"
"2014.0","10.0","2.0","275.0","7857.0","0.52","0.9","0.0","4.13","0.9","3.72","0.0","0.0","0.0","0.0","56.5","113.01","536.45","268.22","479.95","423.44","0.0","","2014.0","11.0","7857.0","43.45","45.71","1178.29222441"
"2014.0","10.0","3.0","276.0","7857.0","0.49","0.9","0.0","4.1","0.9","3.69","0.0","0.0","0.0","0.0","60.19","113.01","536.45","268.22","476.26","423.44","0.0","","2014.0","12.0","7857.0","31.93","35.41","912.783366142"
"2014.0","10.0","4.0","277.0","7857.0","0.46","0.9","0.0","4.11","0.9","3.7","0.0","0.0","0.0","0.0","63.89","113.01","536.45","268.22","472.56","423.44","0.0","","2015.0","1.0","7857.0","32.71","29.42","758.375787402"
"2014.0","10.0","5.0","278.0","7857.0","0.43","0.9","0.0","3.99","0.9","3.59","0.0","0.0","0.0","0.0","67.48","113.01","536.45","268.22","468.97","423.44","0.0","","2015.0","2.0","7857.0","56.48","53.15","1370.07726378"
"2014.0","10.0","6.0","279.0","7857.0","0.41","0.9","0.0","4.02","0.9","3.62","0.0","0.0","0.0","0.0","71.1","113.01","536.45","268.22","465.35","423.44","0.0","","2015.0","3.0","7857.0","103.75","95.87","2471.29458661"
"2014.0","10.0","7.0","280.0","7857.0","0.39","0.9","0.0","4.14","0.9","3.73","0.0","0.0","0.0","0.0","74.82","113.01","536.45","268.22","461.63","423.44","0.0","","2015.0","4.0","7857.0","139.25","127.7","3291.79429134"
"2014.0","10.0","8.0","281.0","7857.0","0.37","0.9","0.0","4.75","0.9","4.28","0.0","0.0","0.0","0.0","79.1","113.01","536.45","268.22","457.35","423.44","0.0","","2015.0","5.0","7857.0","156.1","140.49","3621.48927165"
"2014.0","10.0","9.0","282.0","7857.0","0.36","0.9","0.0","4.2","0.9","3.78","0.0","0.0","0.0","0.0","82.88","113.01","536.45","268.22","453.57","423.44","0.0","","2015.0","6.0","7857.0","203.55","183.24","4723.47992126"
"2014.0","10.0","10.0","283.0","7857.0","0.35","0.9","0.0","3.66","0.9","3.29","0.0","0.0","0.0","0.0","86.17","113.01","536.45","268.22","450.28","423.44","0.0","","2015.0","7.0","7857.0","210.84","189.79","4892.32293307"
"2014.0","10.0","11.0","284.0","7857.0","0.34","0.9","0.0","3.47","0.9","3.12","0.0","0.0","0.0","0.0","89.29","113.01","536.45","268.22","447.15","423.44","0.0","","2015.0","8.0","7857.0","191.5","172.37","4443.27785433"
"2014.0","10.0","12.0","285.0","7857.0","0.32","0.9","0.0","6.52","0.9","5.87","0.0","0.0","0.0","0.0","95.16","113.01","536.45","268.22","441.29","423.44","0.0","","2015.0","9.0","7857.0","147.5","132.78","3422.74429134"
"2014.0","10.0","13.0","286.0","7857.0","0.31","0.9","0.0","4.07","0.9","3.66","0.0","0.0","0.0","0.0","98.83","113.01","536.45","268.22","437.62","423.44","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","7857.0","0.31","0.9","0.0","3.0","0.9","2.7","0.0","0.0","0.0","0.0","101.53","113.01","536.45","268.22","434.92","423.44","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","7857.0","0.3","0.9","0.0","2.3","0.9","2.07","0.46","0.46","0.0","0.0","103.14","113.01","536.45","268.22","433.31","423.44","0.0","","","","","","",""
