" Daily soil water balance output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","33581.0","0.08","0.8","0.0","5.64","0.8","4.51","0.0","0.0","0.0","0.0","0.0","35.35","144.0","72.0","144.0","108.65","38.13","","2014.0","10.0","33581.0","104.06","83.29","9176.38284121"
"2014.0","10.0","2.0","275.0","33581.0","0.08","0.8","0.0","4.13","0.8","3.3","0.0","0.0","0.0","0.0","3.3","35.35","144.0","72.0","140.7","108.65","0.0","","2014.0","11.0","33581.0","44.11","44.98","4955.62132546"
"2014.0","10.0","3.0","276.0","33581.0","0.08","0.8","0.0","4.17","0.8","3.34","0.0","0.0","0.0","0.0","6.64","35.35","144.0","72.0","137.36","108.65","0.0","","2014.0","12.0","33581.0","32.86","36.0","3966.25984252"
"2014.0","10.0","4.0","277.0","33581.0","0.08","0.8","0.0","4.22","0.8","3.38","0.0","0.0","0.0","0.0","10.02","35.35","144.0","72.0","133.98","108.65","0.0","","2015.0","1.0","33581.0","31.82","25.45","2803.92536089"
"2014.0","10.0","5.0","278.0","33581.0","0.08","0.8","0.0","4.07","0.8","3.26","0.0","0.0","0.0","0.0","13.27","35.35","144.0","72.0","130.73","108.65","0.0","","2015.0","2.0","33581.0","55.9","48.35","5326.90731627"
"2014.0","10.0","6.0","279.0","33581.0","0.08","0.8","0.0","4.12","0.8","3.3","0.0","0.0","0.0","0.0","16.57","35.35","144.0","72.0","127.43","108.65","0.0","","2015.0","3.0","33581.0","105.04","86.05","9480.46276247"
"2014.0","10.0","7.0","280.0","33581.0","0.08","0.8","0.0","4.3","0.8","3.44","0.0","0.0","0.0","0.0","20.01","35.35","144.0","72.0","123.99","108.65","0.0","","2015.0","4.0","33581.0","139.8","116.02","12782.3740814"
"2014.0","10.0","8.0","281.0","33581.0","0.08","0.8","0.0","5.11","0.8","4.09","0.0","0.0","0.0","0.0","24.1","35.35","144.0","72.0","119.9","108.65","0.0","","2015.0","5.0","33581.0","156.12","124.89","13759.616437"
"2014.0","10.0","9.0","282.0","33581.0","0.08","0.8","0.0","4.37","0.8","3.5","0.0","0.0","0.0","0.0","27.59","35.35","144.0","72.0","116.41","108.65","0.0","","2015.0","6.0","33581.0","205.59","164.47","18120.2987861"
"2014.0","10.0","10.0","283.0","33581.0","0.08","0.8","0.0","3.76","0.8","3.01","0.0","0.0","0.0","0.0","30.6","35.35","144.0","72.0","113.4","108.65","0.0","","2015.0","7.0","33581.0","212.75","170.22","18753.798622"
"2014.0","10.0","11.0","284.0","33581.0","0.08","0.8","0.0","3.57","0.8","2.86","0.0","0.0","0.0","0.0","33.46","35.35","144.0","72.0","110.54","108.65","0.0","","2015.0","8.0","33581.0","195.07","156.04","17191.5329396"
"2014.0","10.0","12.0","285.0","33581.0","0.08","0.8","0.0","6.1","0.8","4.88","0.0","0.0","0.0","0.0","0.0","35.35","144.0","72.0","144.0","108.65","38.34","","2015.0","9.0","33581.0","149.12","119.3","13143.7444226"
"2014.0","10.0","13.0","286.0","33581.0","0.08","0.8","0.0","4.07","0.8","3.26","0.0","0.0","0.0","0.0","3.26","35.35","144.0","72.0","140.74","108.65","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","33581.0","0.08","0.8","0.0","3.32","0.8","2.66","0.0","0.0","0.0","0.0","5.91","35.35","144.0","72.0","138.09","108.65","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","33581.0","0.08","0.8","0.0","2.48","0.8","1.98","0.0","0.0","0.0","0.0","7.9","35.35","144.0","72.0","136.1","108.65","0.0","","","","","","",""
