" Daily soil water balance output for Vineyard in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","12638.0","0.08","0.0","0.0","5.64","0.08","0.46","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","2014.0","10.0","12638.0","104.06","8.38","347.462073491","62.96","2610.52650919"
"2014.0","10.0","2.0","275.0","12638.0","0.08","0.0","0.0","4.13","0.08","0.34","0.0","0.0","0.0","0.0","30.04","29.7","600.92","300.46","570.88","571.22","0.0","","2014.0","11.0","12638.0","44.11","43.59","1807.38326772","23.35","968.166994751"
"2014.0","10.0","3.0","276.0","12638.0","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","2014.0","12.0","12638.0","32.86","35.82","1485.21377953","0.0","0.0"
"2014.0","10.0","4.0","277.0","12638.0","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","30.05","29.7","600.92","300.46","570.87","571.22","0.0","","2015.0","1.0","12638.0","31.82","16.64","689.94855643","0.0","0.0"
"2014.0","10.0","5.0","278.0","12638.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","2015.0","2.0","12638.0","55.9","36.29","1504.70150919","0.0","0.0"
"2014.0","10.0","6.0","279.0","12638.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","30.04","29.7","600.92","300.46","570.88","571.22","0.0","","2015.0","3.0","12638.0","105.04","56.76","2353.45433071","0.0","0.0"
"2014.0","10.0","7.0","280.0","12638.0","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","2015.0","4.0","12638.0","139.8","102.01","4229.66660105","87.91","3645.03471129"
"2014.0","10.0","8.0","281.0","12638.0","0.08","0.0","0.0","5.11","0.08","0.41","0.0","0.0","0.0","0.0","30.11","29.7","600.92","300.46","570.8","571.22","0.0","","2015.0","5.0","12638.0","156.12","124.63","5167.56541995","113.45","4704.0062336"
"2014.0","10.0","9.0","282.0","12638.0","0.08","0.0","0.0","4.37","0.08","0.35","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","2015.0","6.0","12638.0","205.59","164.47","6819.46148294","164.47","6819.46148294"
"2014.0","10.0","10.0","283.0","12638.0","0.08","0.0","0.0","3.76","0.08","0.3","0.0","0.0","0.0","0.0","30.0","29.7","600.92","300.46","570.91","571.22","0.0","","2015.0","7.0","12638.0","212.75","170.22","7057.87519685","170.2","7057.04593176"
"2014.0","10.0","11.0","284.0","12638.0","0.08","0.0","0.0","3.57","0.08","0.29","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","2015.0","8.0","12638.0","195.07","144.21","5979.41594488","156.06","6470.75551181"
"2014.0","10.0","12.0","285.0","12638.0","0.08","0.0","0.0","6.1","0.08","0.49","0.0","0.0","0.0","0.0","30.19","29.7","600.92","300.46","570.73","571.22","0.0","","2015.0","9.0","12638.0","149.12","72.86","3021.01272966","117.09","4854.93248031"
"2014.0","10.0","13.0","286.0","12638.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","12638.0","0.08","0.0","0.0","3.32","0.08","0.27","0.0","0.0","0.0","0.0","29.97","29.7","600.92","300.46","570.95","571.22","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","12638.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","12638.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","29.92","29.7","600.92","300.46","571.0","571.22","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","12638.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","12638.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","29.93","29.7","600.92","300.46","570.98","571.22","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","12638.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","12638.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","29.89","29.7","600.92","300.46","571.03","571.22","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","12638.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","12638.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","29.91","29.7","600.92","300.46","571.01","571.22","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","12638.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","12638.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","29.91","29.7","600.92","300.46","571.01","571.22","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","12638.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","12638.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","29.15","29.7","600.92","300.46","571.77","571.22","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","12638.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","29.35","29.7","600.92","300.46","571.57","571.22","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","12638.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","29.54","29.7","600.92","300.46","571.37","571.22","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","12638.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","29.74","29.7","600.92","300.46","571.18","571.22","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","12638.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","12638.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","29.43","29.7","600.92","300.46","571.48","571.22","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","12638.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","22.78","29.7","600.92","300.46","578.14","571.22","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","12638.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","25.28","29.7","600.92","300.46","575.64","571.22","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","12638.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","27.32","29.7","600.92","300.46","573.6","571.22","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","12638.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","29.1","29.7","600.92","300.46","571.82","571.22","0.0","","","","","","","","",""
