" Daily soil water balance output for Truck Crops in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","44.0","0.57","0.0","0.0","6.01","0.57","3.42","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","2014.0","10.0","44.0","101.46","35.72","5.15643044619","0.0","0.0"
"2014.0","10.0","2.0","275.0","44.0","0.52","0.0","0.0","4.13","0.52","2.16","0.0","0.0","0.0","0.0","21.36","19.2","273.1","136.55","251.74","253.9","0.0","","2014.0","11.0","44.0","43.45","43.15","6.22900262467","0.0","0.0"
"2014.0","10.0","3.0","276.0","44.0","0.49","0.0","0.0","4.1","0.49","1.99","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","2014.0","12.0","44.0","31.93","34.69","5.00774278215","0.0","0.0"
"2014.0","10.0","4.0","277.0","44.0","0.46","0.0","0.0","4.11","0.46","1.87","0.0","0.0","0.0","0.0","21.07","19.2","273.1","136.55","252.03","253.9","0.0","","2015.0","1.0","44.0","32.71","16.86","2.43385826772","0.0","0.0"
"2014.0","10.0","5.0","278.0","44.0","0.43","0.0","0.0","3.99","0.43","1.72","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","2015.0","2.0","44.0","56.48","36.24","5.23149606299","0.0","0.0"
"2014.0","10.0","6.0","279.0","44.0","0.41","0.0","0.0","4.02","0.41","1.65","0.0","0.0","0.0","0.0","20.85","19.2","273.1","136.55","252.25","253.9","0.0","","2015.0","3.0","44.0","103.75","60.08","8.67296587927","0.0","0.0"
"2014.0","10.0","7.0","280.0","44.0","0.39","0.0","0.0","4.14","0.39","1.62","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","2015.0","4.0","44.0","139.25","70.84","10.2262467192","0.0","0.0"
"2014.0","10.0","8.0","281.0","44.0","0.37","0.0","0.0","4.75","0.37","1.77","0.0","0.0","0.0","0.0","20.97","19.2","273.1","136.55","252.13","253.9","0.0","","2015.0","5.0","44.0","156.1","91.92","13.2692913386","34.78","5.02073490814"
"2014.0","10.0","9.0","282.0","44.0","0.36","0.0","0.0","4.2","0.36","1.51","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","2015.0","6.0","44.0","203.55","170.21","24.5709973753","100.34","14.4847769029"
"2014.0","10.0","10.0","283.0","44.0","0.35","0.0","0.0","3.66","0.35","1.27","0.0","0.0","0.0","0.0","20.47","19.2","273.1","136.55","252.63","253.9","0.0","","2015.0","7.0","44.0","210.84","206.01","29.738976378","166.17","23.9877952756"
"2014.0","10.0","11.0","284.0","44.0","0.34","0.0","0.0","3.47","0.34","1.17","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","2015.0","8.0","44.0","191.5","191.5","27.6443569554","162.78","23.4984251969"
"2014.0","10.0","12.0","285.0","44.0","0.32","0.0","0.0","6.52","0.32","2.09","0.0","0.0","0.0","0.0","21.29","19.2","273.1","136.55","251.81","253.9","0.0","","2015.0","9.0","44.0","147.5","140.9","20.3398950131","118.71","17.1366141732"
"2014.0","10.0","13.0","286.0","44.0","0.31","0.0","0.0","4.07","0.31","1.27","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","44.0","0.31","0.0","0.0","3.0","0.31","0.92","0.0","0.0","0.0","0.0","20.12","19.2","273.1","136.55","252.98","253.9","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","44.0","0.3","0.0","0.0","2.3","0.3","0.69","0.46","0.46","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","44.0","0.3","0.0","0.0","2.65","0.3","0.79","0.27","0.27","0.0","0.0","19.72","19.2","273.1","136.55","253.38","253.9","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","44.0","0.29","0.0","0.0","2.47","0.29","0.72","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","44.0","0.29","0.0","0.0","2.85","0.29","0.82","0.0","0.0","0.0","0.0","20.02","19.2","273.1","136.55","253.08","253.9","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","44.0","0.28","0.0","0.0","2.92","0.28","0.83","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","44.0","0.28","0.0","0.0","2.24","0.28","0.63","0.0","0.0","0.0","0.0","19.83","19.2","273.1","136.55","253.27","253.9","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","44.0","0.28","0.0","0.0","2.61","0.28","0.72","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","44.0","0.27","0.0","0.0","2.54","0.27","0.7","0.0","0.0","0.0","0.0","19.9","19.2","273.1","136.55","253.21","253.9","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","44.0","0.27","0.0","0.0","2.44","0.27","0.66","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","44.0","0.27","0.0","0.0","2.57","0.27","0.69","0.0","0.0","0.0","0.0","19.89","19.2","273.1","136.55","253.21","253.9","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","44.0","0.26","0.0","0.0","2.26","0.26","0.6","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","44.0","0.26","0.0","0.0","2.62","0.26","0.68","1.47","1.47","0.0","0.0","18.41","19.2","273.1","136.55","254.69","253.9","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","44.0","0.26","0.0","0.0","2.46","0.26","0.64","0.0","0.0","0.0","0.0","19.05","19.2","273.1","136.55","254.05","253.9","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","44.0","0.26","0.0","0.0","2.33","0.26","0.6","0.0","0.0","0.0","0.0","19.65","19.2","273.1","136.55","253.45","253.9","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","44.0","0.25","0.0","0.0","2.38","0.25","0.6","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","44.0","0.25","0.0","0.0","2.46","0.25","0.62","0.0","0.0","0.0","0.0","19.82","19.2","273.1","136.55","253.28","253.9","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","44.0","0.25","0.0","0.0","1.19","0.25","0.3","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","44.0","1.15","0.0","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","15.45","19.2","273.1","136.55","257.65","253.9","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","44.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","17.97","19.2","273.1","136.55","255.13","253.9","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","44.0","1.14","0.0","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","20.02","19.2","273.1","136.55","253.08","253.9","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","44.0","1.01","0.0","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","44.0","0.91","0.0","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","20.82","19.2","273.1","136.55","252.28","253.9","0.0","","","","","","","","",""
