" Daily soil water balance output for Citrus & Subtropical in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","2.0","0.57","0.91","0.0","5.96","0.91","5.4","0.0","0.0","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","99.16","","2014.0","10.0","2.0","103.02","93.35","0.612532808399"
"2014.0","10.0","2.0","275.0","2.0","0.52","0.91","0.0","4.15","0.91","3.76","0.0","0.0","0.0","0.0","3.76","95.1","416.97","208.48","413.21","321.86","0.0","","2014.0","11.0","2.0","43.68","46.01","0.301902887139"
"2014.0","10.0","3.0","276.0","2.0","0.48","0.91","0.0","4.14","0.91","3.75","0.0","0.0","0.0","0.0","7.51","95.1","416.97","208.48","409.46","321.86","0.0","","2014.0","12.0","2.0","32.29","36.78","0.241338582677"
"2014.0","10.0","4.0","277.0","2.0","0.45","0.91","0.0","4.17","0.91","3.78","0.0","0.0","0.0","0.0","11.29","95.1","416.97","208.48","405.68","321.86","0.0","","2015.0","1.0","2.0","32.29","29.27","0.192060367454"
"2014.0","10.0","5.0","278.0","2.0","0.43","0.91","0.0","4.03","0.91","3.65","0.0","0.0","0.0","0.0","14.94","95.1","416.97","208.48","402.03","321.86","0.0","","2015.0","2.0","2.0","56.46","53.41","0.350459317585"
"2014.0","10.0","6.0","279.0","2.0","0.41","0.91","0.0","4.09","0.91","3.71","0.0","0.0","0.0","0.0","18.65","95.1","416.97","208.48","398.32","321.86","0.0","","2015.0","3.0","2.0","104.49","95.79","0.628543307087"
"2014.0","10.0","7.0","280.0","2.0","0.39","0.91","0.0","4.24","0.91","3.84","0.0","0.0","0.0","0.0","22.49","95.1","416.97","208.48","394.48","321.86","0.0","","2015.0","4.0","2.0","140.05","128.66","0.844225721785"
"2014.0","10.0","8.0","281.0","2.0","0.37","0.91","0.0","4.92","0.91","4.46","0.0","0.0","0.0","0.0","26.94","95.1","416.97","208.48","390.02","321.86","0.0","","2015.0","5.0","2.0","157.44","142.64","0.935958005249"
"2014.0","10.0","9.0","282.0","2.0","0.36","0.91","0.0","4.33","0.91","3.92","0.0","0.0","0.0","0.0","30.87","95.1","416.97","208.48","386.1","321.86","0.0","","2015.0","6.0","2.0","206.92","187.46","1.23005249344"
"2014.0","10.0","10.0","283.0","2.0","0.34","0.91","0.0","3.75","0.91","3.4","0.0","0.0","0.0","0.0","34.26","95.1","416.97","208.48","382.7","321.86","0.0","","2015.0","7.0","2.0","214.06","193.94","1.27257217848"
"2014.0","10.0","11.0","284.0","2.0","0.33","0.91","0.0","3.53","0.91","3.2","0.0","0.0","0.0","0.0","37.46","95.1","416.97","208.48","379.5","321.86","0.0","","2015.0","8.0","2.0","194.99","176.67","1.1592519685"
"2014.0","10.0","12.0","285.0","2.0","0.32","0.91","0.0","6.45","0.91","5.84","0.0","0.0","0.0","0.0","43.31","95.1","416.97","208.48","373.66","321.86","0.0","","2015.0","9.0","2.0","149.52","135.46","0.888845144357"
"2014.0","10.0","13.0","286.0","2.0","0.31","0.91","0.0","4.08","0.91","3.7","0.0","0.0","0.0","0.0","47.0","95.1","416.97","208.48","369.96","321.86","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","2.0","0.3","0.91","0.0","3.18","0.91","2.88","0.0","0.0","0.0","0.0","49.88","95.1","416.97","208.48","367.08","321.86","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","2.0","0.3","0.91","0.0","2.39","0.91","2.17","0.15","0.15","0.0","0.0","51.9","95.1","416.97","208.48","365.07","321.86","0.0","","","","","","",""
