" Daily soil water balance output for Other Deciduous in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Other Deciduous at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","391.0","0.08","0.8","0.0","5.32","0.8","4.26","0.0","0.0","0.0","0.0","54.04","70.18","307.24","153.62","253.2","237.05","0.0","","2014.0","10.0","391.0","100.62","80.49","103.253248031","91.83","117.800295276"
"2014.0","10.0","2.0","275.0","391.0","0.08","0.8","0.0","4.09","0.8","3.27","0.0","0.0","0.0","0.0","57.31","70.18","307.24","153.62","249.93","237.05","0.0","","2014.0","11.0","391.0","44.55","43.74","56.1100393701","0.0","0.0"
"2014.0","10.0","3.0","276.0","391.0","0.08","0.8","0.0","4.19","0.8","3.35","0.0","0.0","0.0","0.0","60.66","70.18","307.24","153.62","246.58","237.05","0.0","","2014.0","12.0","391.0","32.61","35.56","45.6166666667","0.0","0.0"
"2014.0","10.0","4.0","277.0","391.0","0.08","0.8","0.0","4.16","0.8","3.33","0.0","0.0","0.0","0.0","63.99","76.81","307.24","153.62","243.25","230.43","0.0","","2015.0","1.0","391.0","32.17","16.75","21.4870406824","0.0","0.0"
"2014.0","10.0","5.0","278.0","391.0","0.08","0.8","0.0","4.02","0.8","3.22","0.0","0.0","0.0","0.0","67.2","76.81","307.24","153.62","240.03","230.43","0.0","","2015.0","2.0","391.0","56.25","36.44","46.7455380577","0.0","0.0"
"2014.0","10.0","6.0","279.0","391.0","0.08","0.8","0.0","3.98","0.8","3.18","0.0","0.0","0.0","0.0","70.39","76.81","307.24","153.62","236.85","230.43","0.0","","2015.0","3.0","391.0","102.43","62.04","79.5854330709","67.4","86.4612860892"
"2014.0","10.0","7.0","280.0","391.0","0.08","0.8","0.0","4.04","0.8","3.23","0.0","0.0","0.0","0.0","73.62","76.81","307.24","153.62","233.62","230.43","0.0","","2015.0","4.0","391.0","135.2","88.54","113.579855643","113.7","145.855314961"
"2014.0","10.0","8.0","281.0","391.0","0.08","0.8","0.0","4.82","0.8","3.86","0.0","0.0","0.0","0.0","0.0","76.81","307.24","153.62","307.24","230.43","77.48","","2015.0","5.0","391.0","148.97","104.64","134.233070866","149.68","192.010761155"
"2014.0","10.0","9.0","282.0","391.0","0.08","0.8","0.0","4.07","0.8","3.26","0.0","0.0","0.0","0.0","3.26","76.81","307.24","153.62","303.98","230.43","0.0","","2015.0","6.0","391.0","193.42","147.17","188.790912073","205.03","263.014206037"
"2014.0","10.0","10.0","283.0","391.0","0.08","0.8","0.0","3.48","0.8","2.78","0.0","0.0","0.0","0.0","6.04","76.81","307.24","153.62","301.2","230.43","0.0","","2015.0","7.0","391.0","200.86","160.65","206.083169291","212.91","273.12273622"
"2014.0","10.0","11.0","284.0","391.0","0.08","0.8","0.0","3.42","0.8","2.74","0.0","0.0","0.0","0.0","8.78","76.81","307.24","153.62","298.46","230.43","0.0","","2015.0","8.0","391.0","184.58","147.64","189.393832021","195.65","250.981463255"
"2014.0","10.0","12.0","285.0","391.0","0.08","0.8","0.0","5.74","0.8","4.59","0.0","0.0","0.0","0.0","13.37","76.81","307.24","153.62","293.87","230.43","0.0","","2015.0","9.0","391.0","143.41","114.72","147.163779528","148.91","191.022998688"
"2014.0","10.0","13.0","286.0","391.0","0.08","0.8","0.0","3.97","0.8","3.18","0.0","0.0","0.0","0.0","16.54","76.81","307.24","153.62","290.69","230.43","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","391.0","0.08","0.8","0.0","3.13","0.8","2.5","0.0","0.0","0.0","0.0","19.05","76.81","307.24","153.62","288.19","230.43","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","391.0","0.08","0.8","0.0","2.43","0.8","1.94","0.0","0.0","0.0","0.0","20.99","76.81","307.24","153.62","286.25","230.43","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","391.0","0.08","0.8","0.0","2.72","0.8","2.18","0.0","0.0","0.0","0.0","23.17","76.81","307.24","153.62","284.07","230.43","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","391.0","0.08","0.8","0.0","2.53","0.8","2.02","0.0","0.0","0.0","0.0","25.19","76.81","307.24","153.62","282.05","230.43","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","391.0","0.08","0.8","0.0","2.88","0.8","2.3","0.0","0.0","0.0","0.0","27.5","76.81","307.24","153.62","279.74","230.43","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","391.0","0.08","0.8","0.0","2.84","0.8","2.27","0.0","0.0","0.0","0.0","29.77","76.81","307.24","153.62","277.47","230.43","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","391.0","0.08","0.8","0.0","2.22","0.8","1.78","0.0","0.0","0.0","0.0","31.54","76.81","307.24","153.62","275.69","230.43","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","391.0","0.08","0.8","0.0","2.7","0.8","2.16","0.0","0.0","0.0","0.0","33.7","76.81","307.24","153.62","273.53","230.43","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","391.0","0.08","0.8","0.0","2.55","0.8","2.04","0.0","0.0","0.0","0.0","35.74","76.81","307.24","153.62","271.49","230.43","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","391.0","0.08","0.8","0.0","2.57","0.8","2.06","0.0","0.0","0.0","0.0","37.8","76.81","307.24","153.62","269.44","230.43","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","391.0","0.08","0.8","0.0","2.55","0.8","2.04","0.0","0.0","0.0","0.0","39.84","76.81","307.24","153.62","267.4","230.43","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","391.0","0.08","0.8","0.0","2.29","0.8","1.83","0.0","0.0","0.0","0.0","41.67","76.81","307.24","153.62","265.57","230.43","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","391.0","0.08","0.8","0.0","2.69","0.8","2.15","1.42","1.42","0.0","0.0","42.4","76.81","307.24","153.62","264.83","230.43","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","391.0","0.08","0.8","0.0","2.51","0.8","2.01","0.0","0.0","0.0","0.0","44.41","76.81","307.24","153.62","262.83","230.43","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","391.0","0.08","0.8","0.0","2.39","0.8","1.91","0.0","0.0","0.0","0.0","46.32","76.81","307.24","153.62","260.91","230.43","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","391.0","0.08","0.8","0.0","2.5","0.8","2.0","0.0","0.0","0.0","0.0","48.32","76.81","307.24","153.62","258.91","230.43","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","391.0","0.08","0.8","0.0","2.44","0.8","1.95","0.0","0.0","0.0","0.0","50.28","76.81","307.24","153.62","256.96","230.43","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","391.0","0.08","0.8","0.0","1.38","0.8","1.1","0.0","0.0","0.0","0.0","51.38","76.81","307.24","153.62","255.86","230.43","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","391.0","1.15","0.0","0.0","1.85","1.15","2.12","8.58","8.58","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","391.0","1.14","0.0","0.0","2.15","1.14","2.45","0.0","0.0","0.0","0.0","24.05","21.6","307.24","153.62","283.19","285.64","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","391.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","391.0","1.01","0.0","0.0","1.77","1.01","1.79","0.0","0.0","0.0","0.0","23.39","21.6","307.24","153.62","283.85","285.64","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","391.0","0.9","0.0","0.0","1.98","0.9","1.78","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
